min,CH5,CH14,CH15,CH40,CH42
,367589,367589,367589,367589,367589
0,98.2959,0.0747681,-0.00457773,0,0
1.67E-05,98.6316,0.0772095,-0.00305185,0,0
3.33E-05,98.8147,0.0817871,-0.00152597,0,0
5.00E-05,99.1199,0.0866699,-0.00305185,0,0
6.67E-05,99.425,0.0915527,-0.00305185,0,0
8.33E-05,99.6692,0.0950623,-0.00152597,0,0
0.0001,100.035,0.098877,-0.00305185,0,0
0.000116667,100.28,0.102539,-0.00305185,0,0
0.000133333,100.615,0.104828,-0.00152597,0,0
0.00015,101.012,0.107117,-0.00152597,0,0
0.000166667,101.348,0.107574,-0.00305185,0,0
0.000183333,101.683,0.107117,-0.00305185,0,0
0.0002,102.111,0.109558,-0.00152597,0,0
0.000216667,102.507,0.109558,-0.00152597,0,0
0.000233333,102.812,0.111084,-0.00152597,0,0
0.00025,103.209,0.111847,-0.00305185,0,0
0.000266667,103.575,0.114594,-0.00305185,0,0
0.000283333,103.942,0.116882,-0.00152597,0,0
0.0003,104.369,0.119171,-0.00305185,0,0
0.000316667,104.735,0.121002,-0.00152597,0,0
0.000333333,105.071,0.123291,-0.00305185,0,0
0.00035,105.498,0.126038,-9.31E-08,0,0
0.000366667,105.834,0.126648,-0.00610361,0,0
0.000383333,106.23,0.126953,-0.00457773,0,0
0.0004,106.566,0.126801,-9.31E-08,0,0
0.000416667,106.963,0.124512,-0.00305185,0,0
0.000433333,107.299,0.123138,-0.00305185,0,0
0.00045,107.665,0.119324,-9.31E-08,0,0
0.000466667,108.031,0.115814,-9.31E-08,0,0
0.000483333,108.275,0.112305,-0.00305185,0,0
0.0005,108.611,0.108032,-0.00457773,0,0
0.000516667,108.916,0.103455,-0.00305185,0,0
0.000533333,109.191,0.0984192,-0.00305185,0,0
0.00055,109.465,0.096283,-9.31E-08,0,0
0.000566667,109.771,0.0926208,-0.00152597,0,0
0.000583333,109.984,0.0906372,-0.00305185,0,0
0.0006,110.259,0.0888062,-0.00305185,0,0
0.000616667,110.503,0.0878906,-0.00457773,0,0
0.000633333,110.747,0.0854492,-0.00152597,0,0
0.00065,110.9,0.0830078,-9.31E-08,0,0
0.000666667,111.083,0.0805664,-0.00152597,0,0
0.000683333,111.296,0.0790405,-0.00152597,0,0
0.0007,111.418,0.0764465,0.00152579,0,0
0.000716667,111.602,0.0732422,-0.00152597,0,0
0.000733333,111.785,0.0694275,-9.31E-08,0,0
0.00075,111.876,0.0642395,-0.00305185,0,0
0.000766667,111.968,0.0611877,-9.31E-08,0,0
0.000783333,112.029,0.06073,-0.00305185,0,0
0.0008,112.181,0.0588989,-0.00305185,0,0
0.000816667,112.181,0.0546265,-0.00305185,0,0
0.000833333,112.303,0.0497437,-0.00305185,0,0
0.00085,112.395,0.0447083,-0.00610361,0,0
0.000866667,112.395,0.0424194,-0.00610361,0,0
0.000883333,112.487,0.0378418,-0.00152597,0,0
0.0009,112.426,0.032959,-9.31E-08,0,0
0.000916667,112.517,0.0280762,-0.00305185,0,0
0.000933333,112.548,0.0248718,-9.31E-08,0,0
0.00095,112.426,0.0209045,-9.31E-08,0,0
0.000966667,112.456,0.0161743,-0.00457773,0,0
0.000983333,112.426,0.0100708,-0.00305185,0,0
0.001,112.365,0.0038147,-0.00152597,0,0
0.00101667,112.395,-0.000762939,-0.00152597,0,0
0.00103333,112.334,-0.00579834,-9.31E-08,0,0
0.00105,112.303,-0.00854492,-0.00457773,0,0
0.00106667,112.242,-0.0119019,-0.00305185,0,0
0.00108333,112.181,-0.0140381,-0.00457773,0,0
0.0011,112.09,-0.0166321,-0.00152597,0,0
0.00111667,112.029,-0.0192261,-0.00305185,0,0
0.00113333,111.968,-0.0189209,-0.00152597,0,0
0.00115,111.876,-0.0189209,-0.00152597,0,0
0.00116667,111.724,-0.0192261,-0.00305185,0,0
0.00118333,111.632,-0.0192261,-0.00457773,0,0
0.0012,111.51,-0.0177002,-9.31E-08,0,0
0.00121667,111.449,-0.0166321,-9.31E-08,0,0
0.00123333,111.296,-0.0166321,-9.31E-08,0,0
0.00125,111.205,-0.0167847,-0.00152597,0,0
0.00126667,111.052,-0.0166321,-0.00152597,0,0
0.00128333,110.9,-0.0167847,-0.00152597,0,0
0.0013,110.808,-0.0170898,-0.00305185,0,0
0.00131667,110.686,-0.0169373,-0.00152597,0,0
0.00133333,110.533,-0.0166321,-0.00152597,0,0
0.00135,110.411,-0.0166321,-0.00152597,0,0
0.00136667,110.289,-0.0183105,-0.00152597,0,0
0.00138333,110.106,-0.0193787,-0.00305185,0,0
0.0014,109.954,-0.0216675,-0.00457773,0,0
0.00141667,109.862,-0.0216675,0.00152579,0,0
0.00143333,109.679,-0.0218201,-9.31E-08,0,0
0.00145,109.496,-0.0230408,-0.00152597,0,0
0.00146667,109.343,-0.0241089,-9.31E-08,0,0
0.00148333,109.191,-0.0238037,-0.00610361,0,0
0.0015,109.008,-0.0241089,-9.31E-08,0,0
0.00151667,108.794,-0.0239563,-0.00152597,0,0
0.00153333,108.672,-0.0228882,-0.00152597,0,0
0.00155,108.641,-0.0218201,0.00152579,0,0
0.00156667,108.397,-0.0216675,-0.00305185,0,0
0.00158333,108.123,-0.0215149,-0.00305185,0,0
0.0016,107.939,-0.0216675,-0.00305185,0,0
0.00161667,107.878,-0.0201416,-9.31E-08,0,0
0.00163333,107.634,-0.0192261,-0.00152597,0,0
0.00165,107.451,-0.0193787,-0.00152597,0,0
0.00166667,107.207,-0.0192261,-9.31E-08,0,0
0.00168333,107.115,-0.0190735,-0.00457773,0,0
0.0017,106.871,-0.0190735,-0.00152597,0,0
0.00171667,106.719,-0.0190735,-0.00457773,0,0
0.00173333,106.597,-0.0193787,-0.00305185,0,0
0.00175,106.414,-0.0192261,-9.31E-08,0,0
0.00176667,106.139,-0.0189209,-0.00152597,0,0
0.00178333,105.925,-0.0190735,-0.00305185,0,0
0.0018,105.651,-0.0192261,-0.00305185,0,0
0.00181667,105.62,-0.0190735,-0.00152597,0,0
0.00183333,105.406,-0.0190735,-0.00305185,0,0
0.00185,105.132,-0.0190735,-0.00457773,0,0
0.00186667,104.979,-0.0169373,-0.00305185,0,0
0.00188333,104.735,-0.0169373,-0.00457773,0,0
0.0019,104.583,-0.0167847,-0.00152597,0,0
0.00191667,104.369,-0.0166321,-0.00457773,0,0
0.00193333,104.155,-0.0144958,-0.00305185,0,0
